date,Consommation(MW),Temperature,Humidity,Wind Speed,Precipitation,Event
2015-07-02,462600.0,2.0880430301920647,59.51897352642099,13.614730449177356,15.59044674166895,1
2015-07-03,424376.0,34.47293857889311,62.990087471372206,12.074847489992976,4.407106009893303,0
2015-07-04,396572.0,24.26847223646262,72.53382235004074,10.978327001347436,15.971127160875207,1
2015-07-05,422882.0,-2.854021933302638,55.6374003877539,3.927900480379836,8.577357938364113,0
2015-07-06,507533.0,-2.689793723711817,49.09633330098998,25.518186254154088,4.41446036934642,0
2015-07-07,556970.0,-0.0477034953378279,50.22897299193831,7.557079231250158,15.384339252919656,0
2015-07-08,541464.0,22.24045368881641,43.0509580930652,3.9558533824245568,0.2373713705904667,0
2015-07-09,489296.0,31.892339166345657,59.9683396803409,25.46985017197793,3.0209160447027417,1
2015-07-10,494030.0,17.797342734485703,49.04353384512763,23.85965880020719,17.34095933462934,0
2015-07-11,468524.0,15.002182835337738,74.1323272777237,24.58953159525286,16.773852996078627,1
2015-07-12,480017.0,3.1377181865205355,85.57509668557537,14.820556809250592,12.356322877613676,0
2015-07-13,546655.0,-3.730779625003419,67.61966990464424,24.965085130827603,17.721099693812615,0
2015-07-14,532540.0,33.132425124677724,89.78552702065423,4.651990002096909,7.35379103743681,0
2015-07-15,508429.0,32.35215291405676,38.78138279558908,26.94831661454773,15.574825939434325,1
2015-07-16,460404.0,-3.615439312021104,37.4358805600417,5.665873405014155,8.291213661042187,1
2015-07-17,468983.0,38.80665739970398,56.73750880951758,25.869515166765503,7.884237757517162,1
2015-07-18,485589.0,-0.06212653187119519,46.16453674754663,4.40487227265179,15.053830484523582,1
2015-07-19,547318.0,16.656854965485838,38.44096411511672,6.656103925641046,8.0823424684436,0
2015-07-20,622939.0,10.24295162570938,51.90104625900351,0.5935260788187691,4.075198535360547,0
2015-07-21,575758.0,38.66314910932728,52.80307079252131,6.030891100825061,17.057528743393554,0
